index,stress,l1_angle,edge,ring,tsne,xing
10000,742.24506,108.95889,0.1202573,345.41376,0.3188857147721337,24.0
10001,91.14553,70.86936,0.067039944,133.92987,0.1593817750258878,12.0
10002,127.55471,82.60186,0.08758098,156.94006,0.1779449897497772,23.0
10003,67.03667,44.758347,0.06664814,82.73029,0.1670775716061007,5.0
10004,263.41,74.21898,0.096799396,274.74146,0.2080392865577484,35.0
10005,859.9438,150.35585,0.1750717,480.97455,0.291435816847586,66.0
10006,632.80927,143.82468,0.123260304,471.0928,0.2472125759978301,78.0
10007,118.554184,50.07379,0.0992063,144.56615,0.1897985615772617,12.0
10008,4.233555,28.32073,0.03291107,26.95461,0.0822706678126435,3.0
10009,714.9905,152.01668,0.1605863,503.2001,0.2844303745003975,85.0
10010,9.398114,21.325207,0.037285943,29.927668,0.0904863498537792,2.0
10011,12.62088,40.778004,0.032100577,47.031532,0.1196387395681661,5.0
10012,23.86597,35.37815,0.054460973,53.113953,0.1345523163043173,7.0
10013,8.585686,26.95625,0.03285156,30.671785,0.0919310984011479,1.0
10014,641.00055,113.2578,0.13541056,429.0846,0.2860114791508591,55.0
10015,786.73834,168.04762,0.13278851,515.7873,0.3104023559402564,98.0
10016,92.9584,54.25445,0.083095126,120.80879,0.1631898317316087,10.0
10017,331.65863,98.05605,0.1373619,281.0417,0.2451718109752358,41.0
10018,636.31006,144.74109,0.13268955,496.82312,0.2518725981844212,76.0
10019,873.39307,180.57494,0.16186194,633.81793,0.2699561024631994,121.0
10020,662.9188,120.50312,0.119962156,371.14178,0.2681500889295928,38.0
10021,713.6728,132.55313,0.15437303,393.04538,0.3039369618600727,50.0
10022,597.9486,115.40519,0.12644506,410.86694,0.2582473413814408,47.0
10023,1045.8676,198.8219,0.19014235,683.88196,0.3201025728874226,153.0
10024,724.8878,155.64261,0.122985005,532.3695,0.2679630201470132,94.0
10025,0.832883,9.613943,0.011791043,11.506638,0.0384894812873243,0.0
10026,179.87581,66.255585,0.093032576,155.74657,0.1932871459901961,11.0
10027,620.43604,156.56859,0.13142289,408.82645,0.2963293622800846,73.0
10028,479.68655,120.020035,0.14694151,335.62454,0.260698402834593,47.0
10029,768.87933,170.78232,0.13236004,534.6782,0.2722148394098101,93.0
10030,880.8797,145.9888,0.1661638,530.7989,0.3112783119760777,85.0
10031,91.3861,77.026115,0.08826791,125.53453,0.1532473445384206,13.0
10032,2.6604567,21.119373,0.015677573,18.59714,0.0532165812315668,0.0
10033,2.3375406,11.903583,0.020347979,16.581041,0.0645436445119162,0.0
10034,172.11023,84.16151,0.081497766,187.13475,0.1512943697837158,13.0
10035,71.44582,65.8639,0.0707261,117.33598,0.1410049179413235,17.0
10036,8.408833,20.65709,0.049293097,26.644238,0.0909817345570819,2.0
10037,980.52826,176.30017,0.15685862,590.53516,0.3032890909170194,94.0
10038,186.92805,59.98712,0.07363786,162.51375,0.1932326765440809,9.0
10039,27.32256,37.143047,0.04266939,62.373352,0.1247235930538794,5.0
10040,12.0027685,35.237904,0.05075879,35.220116,0.0938590452425373,3.0
10041,176.4746,74.88723,0.12804002,167.79659,0.2431899046658033,31.0
10042,169.84654,79.75703,0.10088163,210.97664,0.2014197576025567,36.0
10043,98.774536,58.891247,0.07104847,137.93045,0.1473466892606897,10.0
10044,38.12141,38.012215,0.072440594,63.84109,0.1409587004668278,7.0
10045,752.3159,123.50313,0.1330857,433.82288,0.2680743847365722,47.0
10046,484.73007,114.85594,0.12101429,350.8402,0.2552365264894253,41.0
10047,137.67355,56.338406,0.05510516,106.16815,0.1519051301547745,4.0
10048,409.50577,107.749855,0.10021572,342.96747,0.253484753335148,46.0
10049,96.4182,64.76209,0.0693582,144.81456,0.1536605025582388,15.0
10050,446.20297,144.98782,0.10547897,413.94742,0.2224016160016558,58.0
10051,823.2163,148.7463,0.1579615,544.8603,0.293220626434116,103.0
10052,117.836876,53.39498,0.0869117,123.55897,0.1936160867160135,11.0
10053,174.03679,88.1719,0.1237333,197.63557,0.2271756704510417,53.0
10054,92.33306,60.577625,0.058607575,141.07425,0.1543681844413545,11.0
10055,0.9639554,1.8482171,0.009667024,13.600045,0.0403531443743085,0.0
10056,315.47855,104.232796,0.1093527,246.3,0.1931401681395356,20.0
10057,594.684,177.36461,0.10884467,528.82184,0.2297407442687225,85.0
10058,257.0103,86.76446,0.103790626,264.2611,0.2310045914796566,43.0
10059,622.131,155.55118,0.1720443,505.40796,0.2749645736331667,115.0
10060,1019.9154,188.61737,0.19062106,666.30505,0.3043195691353421,149.0
10061,528.17535,147.0582,0.09655017,394.3934,0.218434155119693,40.0
10062,674.99426,152.3471,0.12602283,476.28934,0.2775466848702159,68.0
10063,19.165312,30.230923,0.03536279,62.761368,0.104123306119958,2.0
10064,524.8796,134.37724,0.11664493,402.56357,0.2298128096796755,34.0
10065,123.767204,47.96821,0.04548406,132.68048,0.1831038052458906,8.0
10066,18.812607,21.168318,0.046624515,42.95243,0.0742404174919744,1.0
10067,119.28072,63.557896,0.08901496,134.09554,0.1851663536919225,12.0
10068,188.77231,68.02715,0.074028574,193.86859,0.1876723950542637,16.0
10069,66.70953,58.624725,0.05758883,104.52735,0.1377635925557978,9.0
10070,65.47819,57.65428,0.054048188,107.057205,0.1163201321918066,5.0
10071,374.29074,90.78423,0.124291986,340.10364,0.2655973466981708,76.0
10072,73.434166,60.30676,0.091593,116.06427,0.1537100369218125,13.0
10073,10.072216,15.790619,0.035887536,35.717834,0.0759167852074146,0.0
10074,621.8451,144.95222,0.118587844,444.07333,0.2278839124919054,51.0
10075,158.84956,79.06572,0.107412465,187.27441,0.2111109294024569,41.0
10076,101.28939,73.720184,0.083502345,138.22421,0.1835938159745554,13.0
10077,659.16064,119.036316,0.1261915,466.30194,0.2692430385274935,73.0
10078,377.92444,120.902504,0.10418117,313.96494,0.2173480603458787,30.0
10079,20.79492,27.922085,0.034068603,48.75723,0.061127911141369,0.0
10080,99.960815,60.984695,0.06046954,145.9723,0.1637779438529705,14.0
10081,23.074692,15.379581,0.033678897,52.07519,0.0874740639924109,0.0
10082,5.9750876,23.694496,0.027314402,25.481749,0.0690562310868165,1.0
10083,43.63557,36.45498,0.058606006,75.53534,0.1218856399683134,6.0
10084,383.33344,88.58347,0.13707983,285.3414,0.2676000515858092,28.0
10085,111.999,69.214554,0.09621244,150.81352,0.1880429051250796,24.0
10086,166.32782,77.733826,0.08085359,205.94391,0.211634705385203,37.0
10087,21.919394,24.677986,0.024308603,60.950222,0.0761034108416646,0.0
10088,522.6873,116.70834,0.14298464,396.39218,0.265726847224883,64.0
10089,298.47147,122.67857,0.118545234,306.48666,0.2074989709494547,55.0
10090,109.16983,50.549454,0.053827956,130.02605,0.1294000401327124,3.0
10091,6.3811145,19.946465,0.035458386,17.427134,0.1011755462435223,1.0
10092,44.780083,39.84879,0.05164262,76.53524,0.125939644992588,5.0
10093,362.5641,96.6334,0.08007101,279.5048,0.2322505387392905,30.0
10094,233.62001,82.403305,0.10454293,211.74544,0.2099614194247908,22.0
10095,13.4020815,44.980534,0.047128316,43.31849,0.1248149596757095,10.0
10096,766.18085,143.26962,0.11654571,466.86264,0.2649166617226107,50.0
10097,79.841484,47.812218,0.07095588,99.02685,0.1681852208337298,6.0
10098,326.09958,110.841446,0.14443542,266.15738,0.2661250199888799,56.0
10099,251.0498,120.52951,0.11806939,292.0571,0.2002081645653076,62.0
10100,590.2254,127.13385,0.11912338,492.1401,0.2542646789674428,80.0
10101,0.9789524,9.066132,0.005621468,16.459017,0.0552334512291132,0.0
10102,37.360973,53.846786,0.05106692,80.21845,0.0857983496278847,2.0
10103,7.6745396,28.294188,0.044855025,22.134626,0.093503554676158,3.0
10104,16.38102,13.9976,0.025157776,43.172314,0.0811161171979182,0.0
10105,51.23845,46.750156,0.061124552,85.10989,0.1106644447761401,3.0
10106,7.3197074,14.366559,0.03137219,28.580988,0.0841939247296792,1.0
10107,35.499325,33.785576,0.060798086,63.55813,0.1275944203150831,6.0
10108,63.1492,34.553444,0.049849913,99.20408,0.1300171303745189,3.0
10109,121.410126,81.09595,0.09638543,155.73602,0.1624268884673176,17.0
10110,19.160862,29.122864,0.061322648,42.177917,0.1235679572252201,4.0
10111,761.3554,133.40144,0.14603905,521.015,0.2730204638130218,78.0
10112,7.248044,21.488512,0.026936369,25.168335,0.0875535621916631,1.0
10113,144.66125,72.94284,0.0606367,185.7368,0.1460022934465979,11.0
10114,23.545671,16.322044,0.036591295,35.551342,0.0899373077691839,1.0
10115,721.4225,164.5954,0.16624534,561.6656,0.2823545030458945,122.0
10116,12.915009,37.263363,0.060734674,37.453495,0.0990119331302463,7.0
10117,329.55826,75.57974,0.10772672,202.18263,0.2614141739677261,15.0
10118,243.51633,97.163345,0.07474734,240.61331,0.1822344407318392,22.0
10119,105.21428,63.31423,0.07438057,126.26175,0.1568704270457064,11.0
10120,43.145454,48.807297,0.041962486,84.19328,0.0990387511887289,2.0
10121,16.199886,37.521797,0.029056842,52.711964,0.0650350938579258,1.0
10122,39.7128,47.313274,0.04096505,76.63135,0.078443479276032,0.0
10123,8.667079,10.2825365,0.020951629,29.841694,0.0760121427810032,0.0
10124,2.6425104,19.191835,0.025622223,20.167015,0.0581450790003881,1.0
10125,644.5851,140.8799,0.16001265,463.7398,0.2837447653790733,88.0
10126,575.0859,142.90494,0.14978519,426.5191,0.2744705219277889,80.0
10127,3.6009996,27.452204,0.023304148,23.102068,0.0598179996691135,0.0
10128,81.421555,54.473034,0.06286043,114.429474,0.1753218965373261,13.0
10129,509.28622,121.83416,0.1217996,406.01215,0.2492989668038818,70.0
10130,404.69073,86.96693,0.10766187,299.4176,0.2375453130269607,29.0
10131,181.78592,71.39172,0.073896036,178.8659,0.1762607788756938,12.0
10132,124.15057,83.20471,0.076452985,174.49562,0.1633514474393583,23.0
10133,331.781,104.223434,0.13487752,291.956,0.240700615384921,48.0
10134,794.6336,146.01714,0.14356929,592.30505,0.3030931037317806,116.0
10135,43.289043,48.59899,0.05637779,87.14819,0.1007546136662108,4.0
10136,10.113688,34.79725,0.042294066,37.76162,0.0984370613804059,5.0
10137,7.486546,20.782387,0.024663003,32.352024,0.0626392840849122,0.0
10138,262.98053,94.56231,0.096347705,206.42734,0.207697720087368,21.0
10139,289.4107,94.61149,0.08412294,241.82133,0.1968005147641304,22.0
10140,61.04295,48.61109,0.049519252,80.53945,0.117224098506244,2.0
10141,1.2659869,3.0994613,0.012916187,13.077638,0.0365547096789917,0.0
10142,334.0746,83.88412,0.11230304,228.3921,0.2518150554698575,25.0
10143,834.4117,192.61201,0.16780423,639.7677,0.2968764106267917,159.0
