index,file,n,m,proc_time,pred_time,gt_stress,pred_stress,spc,mean_deg,max_deg,name,gviz_time
173,data/new_large_graph/dwt_869.mtx,869,4077,4.099456071853639,0.1695399284362793,8437.7744140625,270921.25,0.968855250689776,9.383199079401614,15,dwt_869,2.8884787559509277
174,data/new_large_graph/dwt_878.mtx,878,4163,4.105801582336427,0.17300128936767578,20183.640625,258861.875,0.9220293037551396,9.482915717539864,11,dwt_878,2.623098373413086
175,data/new_large_graph/qh882.mtx,882,2031,4.014209985733031,0.17435956001281738,37604.90625,272518.28125,0.8620096014200882,4.605442176870747,16,qh882,4.2666356563568115
176,data/new_large_graph/orsirr_2.mtx,886,3428,4.1942386627197275,0.191939115524292,64694.0078125,92538.265625,0.3008945285978824,7.738148984198648,15,orsirr_2,1.6750853061676025
177,data/new_large_graph/gr_30_30.mtx,900,4322,4.326822757720946,0.2141022682189941,9433.771484375,300751.625,0.9686326832502568,9.604444444444443,10,gr_30_30,1.075395107269287
178,data/new_large_graph/pde900.mtx,900,2640,4.2831101417541495,0.21342849731445312,9873.046875,291820.0625,0.96616734713022,5.866666666666666,6,pde900,0.9286935329437256
179,data/new_large_graph/dwt_918.mtx,918,4151,4.5350091457366934,0.2224867343902588,19729.56640625,290034.5625,0.93197511966785,9.043572984749456,14,dwt_918,2.2137744426727295
180,data/new_large_graph/jagmesh1.mtx,936,3600,4.6905767917633066,0.239091157913208,7636.171875,406817.1875,0.9812294757703668,7.6923076923076925,8,jagmesh1,1.6810076236724854
181,data/new_large_graph/L.mtx,956,1820,4.75233006477356,0.24905967712402344,43918.0078125,342616.0625,0.871815677607059,3.807531380753138,4,L,1.295604944229126
182,data/new_large_graph/nos3.mtx,960,8402,5.276434659957887,0.2926621437072754,11836.4326171875,339123.5,0.9650969849709988,17.504166666666666,19,nos3,1.3204078674316406
183,data/new_large_graph/cdde3.mtx,961,2821,5.040462732315064,0.2820367813110352,11207.5478515625,325784.46875,0.9655982745446255,5.870967741935482,6,cdde3,1.1393921375274658
184,data/new_large_graph/cdde2.mtx,961,2821,5.031781196594238,0.2809751033782959,11207.5478515625,339084.0625,0.96694758294173,5.870967741935482,6,cdde2,1.1464455127716064
185,data/new_large_graph/dwg961b.mtx,961,5776,5.167064428329468,0.2818880081176758,7514.4638671875,442715.9375,0.983026443751672,12.020811654526534,20,dwg961b,1.7015056610107422
